Cosine_th,Density (gr/cm3),Energy (GeV),Flx_JPsi (1/GeV/sr/s/cm2),Height (km),Slant depth (gr/cm2)
0.4,0.0001405342598424898,1911030.0343913739,5.012385926546214e-35,16.234034891457018,241.3850228410425
0.4,0.00011290728538447764,1911030.0343913739,6.712008887505385e-35,17.750544345037387,193.13959436165345
0.4,9.066033567780408e-05,1911030.0343913739,8.098981911665416e-35,19.291884680321733,154.53694049091388
0.4,7.224005752527718e-05,1911030.0343913739,8.959749636661153e-35,20.868920688905252,123.64976769897255
0.4,5.7793192136045505e-05,1911030.0343913739,9.270436740115115e-35,22.382639711248583,98.93598904857842
0.4,4.598893348225608e-05,1911030.0343913739,9.049830272732366e-35,23.910932904304772,79.16173326625477
0.4,3.624118226160413e-05,1911030.0343913739,8.407569928268331e-35,25.497923132811717,63.33974192789169
0.4,2.8821097620785937e-05,1911030.0343913739,7.543167237315331e-35,27.01925368034573,50.680079148824355
0.4,2.266587576641657e-05,1911030.0343913739,6.54117341970375e-35,28.63277454745568,40.55069288812614
0.4,1.766231809832444e-05,1911030.0343913739,5.518665838419379e-35,30.336490975201173,32.4458588329823
0.4,1.3825646876024814e-05,1911030.0343913739,4.569986833482621e-35,32.039189800737645,25.96093137826682
0.4,1.0882855225859418e-05,1911030.0343913739,3.7299222108867175e-35,33.740882344683214,20.772141107325712
0.4,8.580569590954429e-06,1911030.0343913739,3.007192090797928e-35,35.47438264314537,16.62043013386898
0.4,6.738800528355059e-06,1911030.0343913739,2.398366405074416e-35,37.28067187038725,13.298518260950924
0.4,5.323662628199744e-06,1911030.0343913739,1.9003963266659234e-35,39.08242663454652,10.640554216251012
0.4,4.188929704199963e-06,1911030.0343913739,1.4959109677552006e-35,40.951208106118905,8.513835286554789
0.4,3.3346349485941957e-06,1911030.0343913739,1.1744757844558785e-35,42.76628599357721,6.812181942166201
0.4,2.6412172141702703e-06,1911030.0343913739,9.173626596965727e-36,44.67617755584949,5.450636669758008
0.4,2.0994502964306537e-06,1911030.0343913739,7.145202733834134e-36,46.61866112595233,4.3612223451952286
0.4,1.675783730851449e-06,1911030.0343913739,5.559803004346146e-36,48.54943443973102,3.489548376937518
0.4,1.3428461210931783e-06,1911030.0343913739,4.324110549634665e-36,50.46891274262696,2.7920951768035045
0.4,1.0798319166085205e-06,1911030.0343913739,3.3623503381831014e-36,52.377496555486964,2.2340413813580957
0.4,8.811826829102032e-07,1911030.0343913739,2.6188829502198674e-36,54.17988402007651,1.7875253447965211
0.4,7.134983004995102e-07,1911030.0343913739,2.035005907669832e-36,56.10417779819721,1.4302541058337517
0.4,5.846254342848829e-07,1911030.0343913739,1.5845326166079617e-36,57.91816423608221,1.144390379252029
0.4,4.787153501206873e-07,1911030.0343913739,1.2341425910147122e-36,59.72743634107019,0.9156620035438856
0.4,3.9330096232361826e-07,1911030.0343913739,9.623046853993035e-37,61.48538805810043,0.7326493825315133
0.4,3.242063752402946e-07,1911030.0343913739,7.512922911846666e-37,63.1823437736433,0.5862153454509714
0.4,2.660853403532683e-07,1911030.0343913739,5.867453185732001e-37,64.87835709852861,0.4690489604383453
0.4,2.1877121991643676e-07,1911030.0343913739,4.587683778696627e-37,66.51939837184561,0.3753005256439381
0.4,1.8085202739874955e-07,1911030.0343913739,3.5926899672203853e-37,68.07483225941618,0.3002895143760382
0.4,1.4936010688568303e-07,1911030.0343913739,2.8157817149956927e-37,69.59478343371015,0.2402708930116132
0.4,1.2320126527524262e-07,1911030.0343913739,2.2086554735467185e-37,71.07859415211772,0.19224814475641475
0.4,1.0168885623170958e-07,1911030.0343913739,1.7340214809024764e-37,72.5168287857076,0.15382366419430174
0.4,8.398829074272665e-08,1911030.0343913739,1.3621580626797626e-37,73.93370160042797,0.12307905335649172
0.4,7.02017540734675e-08,1911030.0343913739,1.071373380700028e-37,75.27580081377563,0.09847934291823547
0.4,5.920700511455108e-08,1911030.0343913739,8.436290721865943e-38,76.54668165233223,0.07879635662712776
0.4,4.974691673484896e-08,1911030.0343913739,6.646985353342207e-38,77.78728497358016,0.06304739282089387
0.4,4.1762739770564845e-08,1911030.0343913739,5.251552516199484e-38,78.94720210748198,0.050446161620416936
0.4,0.0011903770941538766,3185710.362046612,1.93025227788948e-42,1.0,2244.4005726523583
0.4,0.0009894249946663905,3185710.362046612,3.527433855713943e-41,2.604086529141264,1795.8140529398013
0.4,0.0008191804046681327,3185710.362046612,5.805873363238026e-40,4.208162680230705,1436.8861566119367
0.4,0.0006783746971259515,3185710.362046612,6.625938455941624e-39,5.737700482796273,1149.6968874272625
0.4,0.0005549316220662276,3185710.362046612,5.047945459720794e-38,7.265122605733732,919.907904239706
0.4,0.0004515874768942049,3185710.362046612,2.5704942491189154e-37,8.731897910666525,736.0466585034802
0.4,0.00036004852188731333,3185710.362046612,9.381362304801128e-37,10.236278575929711,588.9336106334487
0.4,0.00028511741867918647,3185710.362046612,2.5894841486659436e-36,11.710930726493142,471.22392816638336
0.4,0.00022444424487899316,3185710.362046612,5.630207601535462e-36,13.197117482438278,377.0407843385282
0.4,0.0001766172501083161,3185710.362046612,1.0163355198197203e-35,14.716220003688926,301.68194897865584
0.4,0.0001405342598424898,3185710.362046612,1.5742171873025232e-35,16.234034891457018,241.3850228410425
0.4,0.00011290728538447764,3185710.362046612,2.1464779061549286e-35,17.750544345037387,193.13959436165345
0.4,9.066033567780408e-05,3185710.362046612,2.629306421463102e-35,19.291884680321733,154.53694049091388
0.4,7.224005752527718e-05,3185710.362046612,2.9454114805462074e-35,20.868920688905252,123.64976769897255
0.4,5.7793192136045505e-05,3185710.362046612,3.0790660672507303e-35,22.382639711248583,98.93598904857842
0.4,4.598893348225608e-05,3185710.362046612,3.031205271073298e-35,23.910932904304772,79.16173326625477
0.4,3.624118226160413e-05,3185710.362046612,2.8354881501050475e-35,25.497923132811717,63.33974192789169
0.4,2.8821097620785937e-05,3185710.362046612,2.5581996700648553e-35,27.01925368034573,50.680079148824355
0.4,2.266587576641657e-05,3185710.362046612,2.2283969659269394e-35,28.63277454745568,40.55069288812614
0.4,1.766231809832444e-05,3185710.362046612,1.8868787258752874e-35,30.336490975201173,32.4458588329823
0.4,1.3825646876024814e-05,3185710.362046612,1.5670769926589534e-35,32.039189800737645,25.96093137826682
0.4,1.0882855225859418e-05,3185710.362046612,1.2820174080900511e-35,33.740882344683214,20.772141107325712
0.4,8.580569590954429e-06,3185710.362046612,1.0355605015218537e-35,35.47438264314537,16.62043013386898
0.4,6.738800528355059e-06,3185710.362046612,8.271580808092035e-36,37.28067187038725,13.298518260950924
0.4,5.323662628199744e-06,3185710.362046612,6.562167507306372e-36,39.08242663454652,10.640554216251012
0.4,4.188929704199963e-06,3185710.362046612,5.170549499772871e-36,40.951208106118905,8.513835286554789
0.4,3.3346349485941957e-06,3185710.362046612,4.062730037645183e-36,42.76628599357721,6.812181942166201
0.4,2.6412172141702703e-06,3185710.362046612,3.17532197774612e-36,44.67617755584949,5.450636669758008
0.4,2.0994502964306537e-06,3185710.362046612,2.4744407278990304e-36,46.61866112595233,4.3612223451952286
0.4,1.675783730851449e-06,3185710.362046612,1.9261715122597174e-36,48.54943443973102,3.489548376937518
0.4,1.3428461210931783e-06,3185710.362046612,1.4985540039882638e-36,50.46891274262696,2.7920951768035045
0.4,1.0798319166085205e-06,3185710.362046612,1.1655521297040971e-36,52.377496555486964,2.2340413813580957
0.4,8.811826829102032e-07,3185710.362046612,9.080195653818475e-37,54.17988402007651,1.7875253447965211
0.4,7.134983004995102e-07,3185710.362046612,7.056930015552613e-37,56.10417779819721,1.4302541058337517
