Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Rho (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,49201891.43094657,78.38775510204081,3.103589072165709e-40,0.14844274457711568
0.0,4.5202228410440214e-08,65611776.72614025,78.38775510204081,1.8459048690317577e-40,0.14844274457711568
0.0,4.5202228410440214e-08,87494710.4666228,78.38775510204081,1.0986016418039855e-40,0.14844274457711568
0.0,4.5202228410440214e-08,116676071.60816622,78.38775510204081,6.435016820307763e-41,0.14844274457711568
0.0,4.5202228410440214e-08,155590042.11011234,78.38775510204081,3.674200300755651e-41,0.14844274457711568
0.0,4.5202228410440214e-08,207482655.7850289,78.38775510204081,2.0679280525175242e-41,0.14844274457711568
0.0,4.5202228410440214e-08,276682568.29150176,78.38775510204081,1.1133754025522838e-41,0.14844274457711568
0.0,4.5202228410440214e-08,368962134.7227101,78.38775510204081,5.769903421371625e-42,0.14844274457711568
0.0,4.5202228410440214e-08,492018914.3094657,78.38775510204081,2.8422098970175127e-42,0.14844274457711568
0.0,4.5202228410440214e-08,656117767.2614025,78.38775510204081,1.3337218561933254e-42,0.14844274457711568
0.0,4.5202228410440214e-08,874947104.6662278,78.38775510204081,5.8679099943835875e-43,0.14844274457711568
0.0,4.5202228410440214e-08,1166760716.0816624,78.38775510204081,2.3933302531777176e-43,0.14844274457711568
0.0,4.5202228410440214e-08,1555900421.1011233,78.38775510204081,8.970720847360294e-44,0.14844274457711568
0.0,4.5202228410440214e-08,2074826557.850289,78.38775510204081,3.0037094168682364e-44,0.14844274457711568
0.0,4.5202228410440214e-08,2766825682.915017,78.38775510204081,8.926219054022181e-45,0.14844274457711568
0.0,4.5202228410440214e-08,3689621347.227101,78.38775510204081,2.2697688100019206e-45,0.14844274457711568
0.0,4.5202228410440214e-08,4920189143.094657,78.38775510204081,4.702612870223442e-46,0.14844274457711568
0.0,4.5202228410440214e-08,6561177672.614025,78.38775510204081,7.730774729724578e-47,0.14844274457711568
0.0,4.5202228410440214e-08,8749471046.66228,78.38775510204081,1.0768793031969644e-47,0.14844274457711568
0.0,4.5202228410440214e-08,11667607160.81662,78.38775510204081,9.401498212531062e-49,0.14844274457711568
