Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Phi (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,5.710678106862527e-08,2074.8265578502887,76.77551020408163,3.883565903569268e-31,0.20406879846836373
0.0,5.710678106862527e-08,2766.8256829150173,76.77551020408163,2.437967306520518e-31,0.20406879846836373
0.0,5.710678106862527e-08,3689.6213472271006,76.77551020408163,1.535971076322494e-31,0.20406879846836373
0.0,5.710678106862527e-08,4920.189143094656,76.77551020408163,9.610851390014216e-32,0.20406879846836373
0.0,5.710678106862527e-08,6561.177672614024,76.77551020408163,6.070367636982111e-32,0.20406879846836373
0.0,5.710678106862527e-08,8749.471046662278,76.77551020408163,3.7962554959275514e-32,0.20406879846836373
0.0,5.710678106862527e-08,11667.60716081662,76.77551020408163,2.351144926617704e-32,0.20406879846836373
0.0,5.710678106862527e-08,15559.004211011234,76.77551020408163,1.4787281658028384e-32,0.20406879846836373
0.0,5.710678106862527e-08,20748.26557850289,76.77551020408163,9.161052839841603e-33,0.20406879846836373
0.0,5.710678106862527e-08,27668.25682915017,76.77551020408163,5.73727813848381e-33,0.20406879846836373
0.0,5.710678106862527e-08,36896.213472271,76.77551020408163,3.519747413806243e-33,0.20406879846836373
0.0,5.710678106862527e-08,49201.89143094656,76.77551020408163,2.1850297634488385e-33,0.20406879846836373
0.0,5.710678106862527e-08,65611.77672614025,76.77551020408163,1.3326316789721265e-33,0.20406879846836373
0.0,5.710678106862527e-08,87494.71046662277,76.77551020408163,8.003139485723024e-34,0.20406879846836373
0.0,5.710678106862527e-08,116676.0716081662,76.77551020408163,4.7693964666209344e-34,0.20406879846836373
0.0,5.710678106862527e-08,155590.04211011232,76.77551020408163,2.8012886769084708e-34,0.20406879846836373
0.0,5.710678106862527e-08,207482.6557850289,76.77551020408163,1.632712601299888e-34,0.20406879846836373
0.0,5.710678106862527e-08,276682.5682915017,76.77551020408163,9.209453576184299e-35,0.20406879846836373
0.0,5.710678106862527e-08,368962.13472271006,76.77551020408163,5.215745890530519e-35,0.20406879846836373
0.0,5.710678106862527e-08,492018.9143094657,76.77551020408163,2.8379398281609984e-35,0.20406879846836373
0.0,5.710678106862527e-08,656117.7672614024,76.77551020408163,1.5270748171258063e-35,0.20406879846836373
0.0,5.710678106862527e-08,874947.1046662279,76.77551020408163,8.032596030340834e-36,0.20406879846836373
0.0,5.710678106862527e-08,1166760.716081662,76.77551020408163,4.132630232800205e-36,0.20406879846836373
0.0,5.710678106862527e-08,1555900.4211011238,76.77551020408163,2.0477420761445255e-36,0.20406879846836373
0.0,5.710678106862527e-08,2074826.5578502887,76.77551020408163,1.0262554775344262e-36,0.20406879846836373
0.0,5.710678106862527e-08,2766825.682915017,76.77551020408163,5.1336870413835555e-37,0.20406879846836373
0.0,5.710678106862527e-08,3689621.347227101,76.77551020408163,2.582229010617757e-37,0.20406879846836373
0.0,5.710678106862527e-08,4920189.143094657,76.77551020408163,1.307642030786679e-37,0.20406879846836373
0.0,5.710678106862527e-08,6561177.672614025,76.77551020408163,6.72212402720067e-38,0.20406879846836373
0.0,5.710678106862527e-08,8749471.046662277,76.77551020408163,3.508435265861553e-38,0.20406879846836373
0.0,5.710678106862527e-08,11667607.16081662,76.77551020408163,1.8357543501796402e-38,0.20406879846836373
0.0,5.710678106862527e-08,15559004.211011235,76.77551020408163,9.453693315787691e-39,0.20406879846836373
