Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Omega (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,20748.26557850289,78.38775510204081,4.945261730680252e-32,0.14844274457711568
0.0,4.5202228410440214e-08,27668.25682915017,78.38775510204081,3.074732760651826e-32,0.14844274457711568
0.0,4.5202228410440214e-08,36896.213472271,78.38775510204081,1.901624245347135e-32,0.14844274457711568
0.0,4.5202228410440214e-08,49201.89143094656,78.38775510204081,1.1704566120442378e-32,0.14844274457711568
0.0,4.5202228410440214e-08,65611.77672614025,78.38775510204081,7.149810933071013e-33,0.14844274457711568
0.0,4.5202228410440214e-08,87494.71046662277,78.38775510204081,4.348277385808593e-33,0.14844274457711568
0.0,4.5202228410440214e-08,116676.0716081662,78.38775510204081,2.596720910839435e-33,0.14844274457711568
0.0,4.5202228410440214e-08,155590.04211011232,78.38775510204081,1.5363554664772189e-33,0.14844274457711568
0.0,4.5202228410440214e-08,207482.6557850289,78.38775510204081,9.016941548792804e-34,0.14844274457711568
0.0,4.5202228410440214e-08,276682.5682915017,78.38775510204081,5.168951700309994e-34,0.14844274457711568
0.0,4.5202228410440214e-08,368962.13472271006,78.38775510204081,2.9193401434682647e-34,0.14844274457711568
0.0,4.5202228410440214e-08,492018.9143094657,78.38775510204081,1.6158039173571655e-34,0.14844274457711568
0.0,4.5202228410440214e-08,656117.7672614024,78.38775510204081,8.704186901824319e-35,0.14844274457711568
0.0,4.5202228410440214e-08,874947.1046662279,78.38775510204081,4.6047984289350075e-35,0.14844274457711568
0.0,4.5202228410440214e-08,1166760.716081662,78.38775510204081,2.3908501544988285e-35,0.14844274457711568
0.0,4.5202228410440214e-08,1555900.4211011238,78.38775510204081,1.2058927260296874e-35,0.14844274457711568
0.0,4.5202228410440214e-08,2074826.5578502887,78.38775510204081,6.002807563795372e-36,0.14844274457711568
0.0,4.5202228410440214e-08,2766825.682915017,78.38775510204081,3.01307972205447e-36,0.14844274457711568
0.0,4.5202228410440214e-08,3689621.347227101,78.38775510204081,1.5114577427665548e-36,0.14844274457711568
0.0,4.5202228410440214e-08,4920189.143094657,78.38775510204081,7.593019676355006e-37,0.14844274457711568
0.0,4.5202228410440214e-08,6561177.672614025,78.38775510204081,3.921056423891528e-37,0.14844274457711568
0.0,4.5202228410440214e-08,8749471.046662277,78.38775510204081,2.0137583587917647e-37,0.14844274457711568
0.0,4.5202228410440214e-08,11667607.16081662,78.38775510204081,1.044940210141036e-37,0.14844274457711568
0.0,4.5202228410440214e-08,15559004.211011235,78.38775510204081,5.513796145415764e-38,0.14844274457711568
