Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Pi0 (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,20748.26557850289,78.38775510204081,7.803290452403249e-25,0.14844274457711568
0.0,4.5202228410440214e-08,27668.25682915017,78.38775510204081,4.86828523601612e-25,0.14844274457711568
0.0,4.5202228410440214e-08,36896.213472271,78.38775510204081,3.011532995506137e-25,0.14844274457711568
0.0,4.5202228410440214e-08,49201.89143094656,78.38775510204081,1.8600376279735847e-25,0.14844274457711568
0.0,4.5202228410440214e-08,65611.77672614025,78.38775510204081,1.1406591720239653e-25,0.14844274457711568
0.0,4.5202228410440214e-08,87494.71046662277,78.38775510204081,6.936144914828315e-26,0.14844274457711568
0.0,4.5202228410440214e-08,116676.0716081662,78.38775510204081,4.21221657523856e-26,0.14844274457711568
0.0,4.5202228410440214e-08,155590.04211011232,78.38775510204081,2.518326796603499e-26,0.14844274457711568
0.0,4.5202228410440214e-08,207482.6557850289,78.38775510204081,1.4887959895207172e-26,0.14844274457711568
0.0,4.5202228410440214e-08,276682.5682915017,78.38775510204081,8.708961968422543e-27,0.14844274457711568
0.0,4.5202228410440214e-08,368962.13472271006,78.38775510204081,5.012672046503764e-27,0.14844274457711568
0.0,4.5202228410440214e-08,492018.9143094657,78.38775510204081,2.8314290074855287e-27,0.14844274457711568
0.0,4.5202228410440214e-08,656117.7672614024,78.38775510204081,1.5543202701596848e-27,0.14844274457711568
0.0,4.5202228410440214e-08,874947.1046662279,78.38775510204081,8.378197030862087e-28,0.14844274457711568
0.0,4.5202228410440214e-08,1166760.716081662,78.38775510204081,4.393659572470385e-28,0.14844274457711568
0.0,4.5202228410440214e-08,1555900.4211011238,78.38775510204081,2.261823599505441e-28,0.14844274457711568
0.0,4.5202228410440214e-08,2074826.5578502887,78.38775510204081,1.1381478736884695e-28,0.14844274457711568
0.0,4.5202228410440214e-08,2766825.682915017,78.38775510204081,5.669990764329605e-29,0.14844274457711568
0.0,4.5202228410440214e-08,3689621.347227101,78.38775510204081,2.801420048106558e-29,0.14844274457711568
